provinsi,tahun,upah,ump,daerah_x,jenis_x,peng,jenis_y,daerah_y,periode,gk,Cluster
ACEH,2017,14809,2500000.0,PERDESAAN,MAKANAN,494150.0,MAKANAN,PERDESAAN,SEPTEMBER,346070.0,0
ACEH,2017,14809,2500000.0,PERDESAAN,MAKANAN,494150.0,MAKANAN,PERDESAANPERKOTAAN,MARET,330958.0,0
ACEH,2017,14809,2500000.0,PERDESAAN,MAKANAN,494150.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,346552.0,0
ACEH,2017,14809,2500000.0,PERKOTAAN,MAKANAN,610732.0,MAKANAN,PERKOTAAN,MARET,330153.0,1
ACEH,2017,14809,2500000.0,PERKOTAAN,MAKANAN,610732.0,MAKANAN,PERKOTAAN,SEPTEMBER,347811.0,1
ACEH,2017,14809,2500000.0,PERKOTAAN,MAKANAN,610732.0,MAKANAN,PERDESAAN,MARET,331267.0,1
ACEH,2017,14809,2500000.0,PERKOTAAN,MAKANAN,610732.0,MAKANAN,PERDESAAN,SEPTEMBER,346070.0,1
ACEH,2017,14809,2500000.0,PERKOTAAN,MAKANAN,610732.0,MAKANAN,PERDESAANPERKOTAAN,MARET,330958.0,1
ACEH,2017,14809,2500000.0,PERKOTAAN,MAKANAN,610732.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,346552.0,1
ACEH,2017,14809,2500000.0,PERDESAANPERKOTAAN,MAKANAN,529161.0,MAKANAN,PERKOTAAN,MARET,330153.0,0
ACEH,2017,14809,2500000.0,PERDESAANPERKOTAAN,MAKANAN,529161.0,MAKANAN,PERKOTAAN,SEPTEMBER,347811.0,1
ACEH,2017,14809,2500000.0,PERDESAANPERKOTAAN,MAKANAN,529161.0,MAKANAN,PERDESAAN,MARET,331267.0,0
ACEH,2017,14809,2500000.0,PERDESAANPERKOTAAN,MAKANAN,529161.0,MAKANAN,PERDESAAN,SEPTEMBER,346070.0,1
ACEH,2017,14809,2500000.0,PERDESAANPERKOTAAN,MAKANAN,529161.0,MAKANAN,PERDESAANPERKOTAAN,MARET,330958.0,0
ACEH,2017,14809,2500000.0,PERDESAANPERKOTAAN,MAKANAN,529161.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,346552.0,1
ACEH,2018,13814,2700000.0,PERDESAAN,MAKANAN,506656.0,MAKANAN,PERKOTAAN,MARET,351777.0,1
ACEH,2018,13814,2700000.0,PERDESAAN,MAKANAN,506656.0,MAKANAN,PERKOTAAN,SEPTEMBER,360318.0,1
ACEH,2018,13814,2700000.0,PERDESAAN,MAKANAN,506656.0,MAKANAN,PERDESAAN,MARET,353915.0,1
ACEH,2018,13814,2700000.0,PERDESAAN,MAKANAN,506656.0,MAKANAN,PERDESAAN,SEPTEMBER,362463.0,1
ACEH,2018,13814,2700000.0,PERDESAAN,MAKANAN,506656.0,MAKANAN,PERDESAANPERKOTAAN,MARET,353291.0,1
ACEH,2018,13814,2700000.0,PERDESAAN,MAKANAN,506656.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,361835.0,1
ACEH,2018,13814,2700000.0,PERKOTAAN,MAKANAN,637432.0,MAKANAN,PERKOTAAN,MARET,351777.0,1
ACEH,2018,13814,2700000.0,PERKOTAAN,MAKANAN,637432.0,MAKANAN,PERKOTAAN,SEPTEMBER,360318.0,1
ACEH,2018,13814,2700000.0,PERKOTAAN,MAKANAN,637432.0,MAKANAN,PERDESAAN,MARET,353915.0,1
ACEH,2018,13814,2700000.0,PERKOTAAN,MAKANAN,637432.0,MAKANAN,PERDESAAN,SEPTEMBER,362463.0,1
ACEH,2018,13814,2700000.0,PERKOTAAN,MAKANAN,637432.0,MAKANAN,PERDESAANPERKOTAAN,MARET,353291.0,1
ACEH,2018,13814,2700000.0,PERKOTAAN,MAKANAN,637432.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,361835.0,1
ACEH,2018,13814,2700000.0,PERDESAANPERKOTAAN,MAKANAN,547668.0,MAKANAN,PERKOTAAN,MARET,351777.0,1
